"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 30 10:12:00 CST 2021","Mon Aug 30 10:12:00 CST 2021","208","test_case","test01","Test_run1","","","我的订单接口","我的订单接口"
"failed","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","232","test_case","test01","Test_run1","","","精彩内容刷新接口","精彩内容刷新接口"
"broken","Mon Aug 30 10:11:59 CST 2021","Mon Aug 30 10:11:59 CST 2021","194","test_case","test01","Test_run1","","","互动消息接口","互动消息接口"
"broken","Mon Aug 30 10:12:01 CST 2021","Mon Aug 30 10:12:01 CST 2021","191","test_case","test01","Test_run1","","","我的粉丝接口","我的粉丝接口"
"broken","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","0","test_case","test01","Test_run1","","","取消点赞接口","取消点赞接口"
"broken","Mon Aug 30 10:11:59 CST 2021","Mon Aug 30 10:11:59 CST 2021","201","test_case","test01","Test_run1","","","系统消息接口","系统消息接口"
"failed","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:58 CST 2021","210","test_case","test01","Test_run1","","","活动接口","活动接口"
"broken","Mon Aug 30 10:11:59 CST 2021","Mon Aug 30 10:12:00 CST 2021","193","test_case","test01","Test_run1","","","我的积分1接口","我的积分1接口"
"broken","Mon Aug 30 10:11:59 CST 2021","Mon Aug 30 10:11:59 CST 2021","204","test_case","test01","Test_run1","","","我的页面接口","我的页面接口"
"broken","Mon Aug 30 10:12:01 CST 2021","Mon Aug 30 10:12:01 CST 2021","0","test_case","test01","Test_run1","","","我的发布接口","我的发布接口"
"passed","Mon Aug 30 10:11:58 CST 2021","Mon Aug 30 10:11:58 CST 2021","202","test_case","test01","Test_run1","","","车主故事接口","车主故事接口"
"failed","Mon Aug 30 10:11:56 CST 2021","Mon Aug 30 10:11:56 CST 2021","292","test_case","test01","Test_run1","","","精彩内容刷新接口","精彩内容刷新接口"
"broken","Mon Aug 30 10:11:58 CST 2021","Mon Aug 30 10:11:58 CST 2021","324","test_case","test01","Test_run1","","","抽奖页面接口","抽奖页面接口"
"broken","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","0","test_case","test01","Test_run1","","","点赞接口","点赞接口"
"failed","Mon Aug 30 10:12:00 CST 2021","Mon Aug 30 10:12:00 CST 2021","197","test_case","test01","Test_run1","","","我的权益接口","我的权益接口"
"broken","Mon Aug 30 10:12:00 CST 2021","Mon Aug 30 10:12:00 CST 2021","194","test_case","test01","Test_run1","","","我的积分2接口","我的积分2接口"
"broken","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","1","test_case","test01","Test_run1","","","点击评论接口","点击评论接口"
"broken","Mon Aug 30 10:12:00 CST 2021","Mon Aug 30 10:12:01 CST 2021","191","test_case","test01","Test_run1","","","我的关注接口","我的关注接口"
"failed","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","210","test_case","test01","Test_run1","","","此刻页面刷新接口","此刻页面刷新接口"
"broken","Mon Aug 30 10:12:01 CST 2021","Mon Aug 30 10:12:01 CST 2021","219","test_case","test01","Test_run1","","","我的收藏接口","我的收藏接口"
"failed","Mon Aug 30 10:11:56 CST 2021","Mon Aug 30 10:11:57 CST 2021","232","test_case","test01","Test_run1","","","此刻页面刷新接口","此刻页面刷新接口"
"broken","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","0","test_case","test01","Test_run1","","","取消关注接口","取消关注接口"
"failed","Mon Aug 30 10:11:58 CST 2021","Mon Aug 30 10:11:58 CST 2021","210","test_case","test01","Test_run1","","","点击评论接口","点击评论接口"
"broken","Mon Aug 30 10:11:56 CST 2021","Mon Aug 30 10:11:56 CST 2021","0","test_case","test01","Test_run1","","","点关注接口","点关注接口"
"broken","Mon Aug 30 10:11:58 CST 2021","Mon Aug 30 10:11:58 CST 2021","221","test_case","test01","Test_run1","","","我的奖品接口","我的奖品接口"
"broken","Mon Aug 30 10:12:00 CST 2021","Mon Aug 30 10:12:00 CST 2021","237","test_case","test01","Test_run1","","","我的活动接口","我的活动接口"
"broken","Mon Aug 30 10:11:59 CST 2021","Mon Aug 30 10:11:59 CST 2021","193","test_case","test01","Test_run1","","","调研问卷接口","调研问卷接口"
"failed","Mon Aug 30 10:11:57 CST 2021","Mon Aug 30 10:11:57 CST 2021","222","test_case","test01","Test_run1","","","精彩内容刷新接口","精彩内容刷新接口"
